地點1,地點2,方位,里程,書籍出處,原文文句
西海,大秦,西,--,後漢書,一大秦國在西海西，故曰秦海也。
柳中,西州縣,--,--,後漢書,柳中，今西州縣也。
玉門,葱領,西,六千餘里,後漢書,西域內屬諸國，東極玉門、陽關，西至葱領。
葱領東流,葱領,東,--,後漢書,其河有兩源，一出葱領東流，一葱領，山名也。
于窴南山下,于窴,南,--,後漢書,一出于窴南山下北流，與葱領河合，東注蒲昌海。
玉門,蒲昌海,--,三百餘里,後漢書,蒲昌海一名鹽澤，去玉門三百餘里。
敦煌,玉門,西,--,後漢書,自敦煌西出玉門
玉門,鄯善,西,--,後漢書,自敦煌西出玉門，涉鄯善
鄯善,伊吾,北,千餘里,後漢書,涉鄯善，北通伊吾千餘里
伊吾,高昌壁,北,千二百里,後漢書,自伊吾北通車師前部高昌壁千二百里
高昌壁,金滿城,北,五百里,後漢書,自高昌壁北通後部金滿城金滿城五百里
玉門,拘彌,西,三千餘里,後漢書,出玉門，經鄯善、且末、精絕三千餘里至拘彌
柳中,拘彌,--,四千九百里,後漢書,拘彌拘彌國居寧彌城，去長史所居柳中四千九百里
洛陽,拘彌,--,萬二千八百里,後漢書,去洛陽萬二千八百里
拘彌,于窴,西,三百九十里,後漢書,其國西接于窴三百九十里
于窴國居西城,長史所居,--,五千三百里,後漢書,于窴于窴國居西城，去長史所居五千三百里
于窴國居西城,洛陽,--,萬一千七百里,後漢書,于窴于窴國居西城，去洛陽萬一千七百里
精絕,疏勒,西北,--,後漢書,從精絕西北至疏勒十三國皆服從
于窴,皮山、西夜、子合、德若焉,--,--,後漢書,自于窴經皮山，至西夜、子合、德若焉
西夜國,洛陽,--,萬四千四百里,後漢書,西夜西夜國一名漂沙，去洛陽萬四千四百里
子合,疏勒,--,千里,後漢書,去疏勒千里
德若,長史居,東,三千五百三十里,後漢書,東去長史居三千五百三十里
德若,洛陽,--,萬二千一百五十里,後漢書,去洛陽萬二千一百五十里
皮山,烏弋山離,西南,六十餘日行,後漢書,自皮山西南經烏秅，涉懸度，歷罽賓，六十餘日行至烏弋山離國
烏弋山離,條支,西南,百餘日馬行,後漢書,復西南馬行百餘日至條支
條支,安息,北東,六十餘日馬行,後漢書,轉北而東，復馬行六十餘日至安息
安息,洛陽,--,二萬五千里,後漢書,去洛陽二萬五千里
安息,康居,北,--,後漢書,北與康居接
安息,烏弋山離,南,--,後漢書,南與烏弋山離接
安息(小安息),洛陽,--,二萬里,後漢書,去洛陽二萬里
安息,阿蠻,西,三千四百里,後漢書,自安息西行三千四百里至阿蠻國
阿蠻,斯賓,西,三千六百里,後漢書,從阿蠻西行三千六百里至斯賓國
斯賓,於羅,西南,九百六十里,後漢書,從斯賓南行度河，又西南至于羅國九百六十里
大月氏,安息,西,四十九日行,--,「西接安息，四十九日行」
大月氏,長史所居,東,六千五百三十七里,--,「東去長史所居六千五百三十七里」
大月氏,洛陽,東,萬六千三百七十里,--,「去洛陽萬六千三百七十里」
高附,大月氏,西南,--,--,「高附國在大月氏西南」
天竺,月氏,東南,數千里,--,「天竺國一名身毒，在月氏之東南數千里」
天竺,大秦,西,--,--,「土出象、犀、瑇瑁、金、銀、銅、鐵、鉛、錫，西與大秦通」
東離,天竺,東南,三千餘里,--,「東離國東離國　按：校補謂通志作「車離國」，東車易譌，未詳孰是。居沙奇城，在天竺東南三千餘里」
嚴,奄蔡,北,--,後漢書,嚴國在奄蔡北，屬康居，出鼠皮以輸之。
莎車,洛陽,東,萬九百五十里,後漢書,莎車國西經蒲犂、無雷至大月氏，東去洛陽萬九百五十里。
疏勒,長史所居,--,五千里,後漢書,疏勒疏勒國去長史所居五千里
疏勒,洛陽,--,萬三百里,後漢書,去洛陽萬三百里
焉耆,長史所居,北,八百里,後漢書,北去長史所居八百里
焉耆,洛陽,東,八千二百里,後漢書,東去洛陽八千二百里
蒲類,長史所居,東南,千二百九十里,後漢書,東南去長史所居千二百九十里
蒲類,洛陽,--,萬四百九十里,後漢書,去洛陽萬四百九十里
移支,蒲類,--,--,後漢書,移支國居蒲類地
東且彌,長史所居,東,八百里,後漢書,東去長史所居八百里
東且彌,洛陽,東,九千二百五十里,後漢書,去洛陽九千二百五十里
車師前王,長史所居柳中,--,八十里,後漢書,去長史所居柳中八十里
車師前王,洛陽,東,九千一百二十里,後漢書,東去洛陽九千一百二十里
車師後王,長史所居,--,五百里,後漢書,去長史所居五百里
車師後王,洛陽,--,九千六百二十里,後漢書,去洛陽九千六百二十里
