國名,國都,戶,口,兵,境內風俗,境內河川
婼羌,--,四百五十,千七百五十,五百人,隨畜逐水草，不田作，仰鄯善、且末穀。,--
鄯善,扜泥城,千五百七十,萬四千一百,二千九百十二人,地沙鹵，少田，寄田仰穀旁國。,--
且末,且末城,二百三十,千六百一十,三百二十,--,--
小宛,扜零城,百五十,千五十,二百,--,--
精絕,精絕城,四百八十,三千三百六十,五百,--,--
戎盧,卑品城,二百四十,千六百一十,三百,--,--
扜彌,扜彌城,三千三百四十,二萬四十,三千五百四十,--,--
渠勒,鞬都城,三百一十,二千一百七十,三百,--,--
于闐,西城,三千三百,萬九千三百,二千四百,--,于闐之西，水皆西流，注西海；其東，水東流，注鹽澤，河原出焉
皮山,皮山城,五百,三千五百,五百人,--,--
烏秅,烏秅城,四百九十,二千七百三十三,七百四十人,山居，田石間，有白草，累石為室，民接手飲，有驢無牛,--
西夜,呼犍谷,三百五十,四千,千人,隨畜逐水草往來,--
蒲犂,蒲犂谷,六百五十,五千,二千人,種俗與子合同,--
依耐,--,一百二十五,六百七十,三百五十人,俗相與同,--
無雷,盧城,千,七千,三千人,衣服類烏孫，俗與子合同,--
難兜,--,五千,三萬一千,八千人,種五穀、蒲陶諸果，有銀銅鐵，作兵與諸國同,--
罽賓,循鮮城,--,--,--,地平，溫和，有目宿，雜草奇木，檀、櫰、梓、竹、漆，種五穀、蒲陶諸果，糞治園田，地下溼，生稻，冬食生菜，民巧，雕文刻鏤，治宮室，織罽，剌文繡，好治食，有金銀銅錫，以為器，市列，出封牛、水牛、象、大狗、沐猴、孔爵、珠璣、珊瑚、虎魄、璧流離，它畜與諸國同,--
烏弋山離,--,--,--,--,國臨西海，暑溼，田稻。有大鳥，卵如甕。人衆甚多，往往有小君長，安息役屬之，以為外國。善眩。其草木、畜產、五穀、果菜、食飲、宮室、市列、錢貨、兵器、金珠之屬皆與罽賓同，而有桃拔、師子、犀牛。俗重妄殺。其錢獨文為人頭。幕為騎馬。以金銀飾杖。,--
安息,番兜城,--,--,--,與烏弋、罽賓同，用銀為錢，王死則更鑄錢,臨媯水
大月氏,監氏城,十萬,四十萬,十萬人,與安息同,--
康居,冬治樂越匿地，夏居蕃內,十二萬,六十萬,十二萬人,與大月氏同,--
奄蔡,--,--,--,控弦者十餘萬人,與康居同,臨大澤
大宛,貴山城,六萬,三十萬,六萬人,俗耆酒，馬耆目宿。大宛左右以蒲陶為酒，富人藏酒至萬餘石，久者至數十歲不敗。宛別邑七十餘城，多善馬。馬汗血，言其先天馬子也。,--
桃槐,--,七百,五千,千人,--,--
休循,鳥飛谷,三百五十八,千三十,四百八十人,民俗衣服類烏孫，因畜隨水草，本故塞種也。,--
捐毒,衍敦谷,三百八十,千一百,五百人,衣服類烏孫，隨水草，依葱領，本塞種也。,--
莎車,莎車城,二千三百三十九,萬六千三百七十三,三千四十九人,--,--
疏勒,疏勒城,千五百一十,萬八千六百四十七,二千人,--,--
尉頭,尉頭谷,三百,二千三百,八百人,田畜隨水草，衣服類烏孫。,--
烏孫,赤谷城,十二萬,六十三萬,十八萬八千八百,「多雨，寒。山多松樠。不田作種樹，隨畜逐水草，與匈奴同俗。民剛惡，貪（狠）〔狼〕無信，貪（狠）〔狼〕無信，多寇盜，最為彊國。故服匈奴，後盛大，取羈屬，不肯往朝會」,--
姑墨,南城,三千五百,二萬四千五百,四千五百人,--,--
溫宿,溫宿城,二千二百,八千四百,千五百人,--,--
龜茲,延城,六千九百七十,八萬一千三百一十七,二萬一千七十六人,--,--
烏壘,--,百一十,千二百,三百人,--,--
渠犂,--,百三十,千四百八十,百五十人,--,西有河
尉犁,尉犁城,千二百,九千六百,二千,--,--
危須,危須城,七百,四千九百,二千,--,--
焉耆,員渠城,四千,三萬二千一百,六千,近海水多魚,--
烏貪訾離,于婁谷,四十一,二百三十一,五十七,--,--
卑陸,天山東乾當國,二百二十七,千三百八十七,四百二十二,--,--
卑陸後,番渠類谷,四百六十二,千一百三十七,三百五十,--,--
郁立師,內咄谷,百九十,千四百四十五,三百三十一,--,--
單桓,單桓城,二十七,百九十四,四十五,--,--
蒲類,天山西疏榆谷,三百二十五,二千三十二,七百九十九,--,--
蒲類後,--,百,千七十,三百三十四,--,--
西且彌,天山東于大谷,三百三十二,千九百二十六,七百三十八,--,--
東且彌,天山東兌虛谷,百九十一,千九百四十八,五百七十二,--,--
劫,天山東丹渠谷,九十九,五百,百一十五人,--,--
狐胡,車師柳谷,五十五,二百六十四,四十五人,--,--
山,--,四百五十,五千,千人,山下居，不為城治。民山居，寄田糴穀於焉耆、危須。,--
車師前,交河城,七百,六千五十,千八百六十五人,--,河水分流繞城下
車師後,務塗谷,五百九十五,四千七百七十四,千八百九十人,--,--
車師都尉,--,四十,三百三十三,八十四人,--,--
車師後城長,--,百五十四,九百六十,二百六十人,--,--
車師,交河城、石城,--,--,萬餘人（來自城郭諸國）,--,--
