地點1,地點2,方位,里程,書籍出處,原文文句
西域,匈奴,西,--,漢書,皆在匈奴之西，烏孫之南。
西域,烏孫,南,--,漢書,皆在匈奴之西，烏孫之南。
漢,西域,東,六千餘里,漢書,東則接漢，東西六千餘里
陽關,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
玉門,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
西域,葱嶺,西,--,漢書,西則限以葱嶺。
金城,漢南山,東,--,漢書,其南山，東出金城，與漢南山屬焉。
葱嶺河,蒲昌海,東,--,漢書,與葱嶺河合，東注蒲昌海。
玉門,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
陽關,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
西域,玉門,西,--,漢書,自玉門、陽關出西域有兩道
西域,陽關,西,--,漢書,自玉門、陽關出西域有兩道
鄯善,莎車,西,--,漢書,從鄯善傍南山北，波河西行至莎車，為南道
車師前王廷,疏勒,西,--,漢書,自車師前王廷隨北山，波河西行至疏勒，為北道
都護治/烏壘城,陽關,--,2738里,漢書,都護治烏壘城，去陽關二千七百三十八里
婼羌,陽關,--,1800里,漢書,去陽關千八百里
婼羌,長安,--,6300里,漢書,去長安六千三百里
婼羌,且末,西,--,漢書,西與且末接
婼羌,鄯善,西北,--,漢書,西北至鄯善，乃當道云
鄯善,陽關,西,1600里,漢書,去陽關千六百里
鄯善,長安,西,6100里,漢書,去長安六千一百里
鄯善,都護治/烏壘城,西北,1785里,漢書,西北去都護治所千七百八十五里
鄯善,山國,西北,1365里,漢書,至山國千三百六十五里
鄯善,車師,西北,1890里,漢書,西北至車師千八百九十里
鄯善,且末,西,720里,漢書,鄯善當漢道衝，西通且末七百二十里
且末,長安,--,6820里,漢書,且末國且末國，王治且末城，去長安六千八百二十里
且末,都護治/烏壘城,西北,2258里,漢書,西北至都護治所二千二百五十八里
且末,小宛,南,可三日行,漢書,南至小宛可三日行
且末,精絕,西,2000里,漢書,西通精絕二千里
小宛,長安,--,7210里,漢書,小宛國小宛國，王治扜零城，去長安七千二百一十里
小宛,都護治/烏壘城,西北,2558里,漢書,西北至都護治所二千五百五十八里
精絕,長安,--,8820里,漢書,精絕國精絕國，王治精絕城，去長安八千八百二十里
精絕,都護治/烏壘城,北,2723里,漢書,北至都護治所二千七百二十三里
精絕,戎盧,南,四日行,漢書,南至戎盧國四日行
精絕,扜彌,西,460里,漢書,西通扜彌四百六十里
戎盧,長安,--,8300里,漢書,戎盧國戎盧國，王治卑品城，去長安八千三百里
戎盧,都護治/烏壘城,東北,2858里,漢書,東北至都護治所二千八百五十八里
扜彌,長安,--,9280里,漢書,扜彌國扜彌國，王治扜彌城，去長安九千二百八十里
扜彌,都護治/烏壘城,東北,3553里,漢書,東北至都護治所三千五百五十三里
扜彌,于闐,西,390里,漢書,西通于闐三百九十里
渠勒,長安,--,9950里,漢書,渠勒國渠勒國，王治鞬都城，去長安九千九百五十里
渠勒,都護治/烏壘城,東北,3852里,漢書,東北至都護治所三千八百五十二里
于闐,長安,--,9670里,漢書,于闐國于闐國，王治西城，去長安九千六百七十里
于闐,都護治/烏壘城,東北,3947里,漢書,東北至都護治所三千九百四十七里
于闐,皮山,西,380里,漢書,西通皮山三百八十里
皮山,長安,--,10050里,漢書文本,皮山國，王治皮山城，去長安萬五十里
皮山,都護治/烏壘城,東北,4292里,漢書文本,東北至都護治所四千二百九十二里
皮山,烏秅,西南,1340里,漢書文本,西南至烏秅國千三百四十里
皮山,姑墨,北,1450里,漢書文本,北至姑墨千四百五十里
皮山,莎車,西北,380里,漢書文本,西北通莎車三百八十里
烏秅,長安,--,9950里,漢書文本,烏秅國，王治烏秅城，去長安九千九百五十里
烏秅,都護治/烏壘城,東北,4892里,漢書文本,東北至都護治所四千八百九十二里
烏秅,陽關,--,5888里,漢書文本,去陽關五千八百八十八里
烏秅,都護治/烏壘城,--,5210里,漢書文本,去都護治所五千二（百）〔十〕里
西夜,長安,--,10250里,漢書文本,西夜國，王號子合王，治呼犍谷，去長安萬二百五十里
西夜,都護治/烏壘城,東北,5046里,漢書文本,東北到都護治所五千四十六里
蒲犂,長安,--,9550里,漢書,去長安九千五百五十里
蒲犂,都護治/烏壘城,東北,5396里,漢書,東北至都護治所五千三百九十六里
蒲犂,莎車,東,540里,漢書,東至莎車五百四十里
蒲犂,疏勒,北,550里,漢書,北至疏勒五百五十里
蒲犂,無雷,西,540里,漢書,西至無雷五百四十里
依耐,長安,--,10150里,漢書,王治去長安萬一百五十里
依耐,都護治/烏壘城,東北,2730里,漢書,東北至都護治所二千七百三十里
依耐,莎車,--,540里,漢書,至莎車五百四十里
依耐,無雷,--,540里,漢書,至無雷五百四十里
依耐,疏勒,北,650里,漢書,北至疏勒六百五十里
無雷,長安,--,9950里,漢書,去長安九千九百五十里
無雷,都護治/烏壘城,東北,2465里,漢書,東北至都護治所二千四百六十五里
無雷,蒲犂,南,540里,漢書,南至蒲犂五百四十里
難兜,長安,--,10150里,漢書,王治去長安萬一百五十里
難兜,都護治/烏壘城,東北,2850里,漢書,東北至都護治所二千八百五十里
難兜,無雷,西,340里,漢書,西至無雷三百四十里
難兜,罽賓,西南,330里,漢書,西南至罽賓三百三十里
罽賓,長安,--,12200里,漢書,去長安萬二千二百里
罽賓,都護治/烏壘城,東北,6840里,漢書,東北至都護治所六千八百四十里
罽賓,烏秅國,東,2250里,漢書,東至烏秅國二千二百五十里
罽賓,難兜國,東北,九日行,漢書,東北至難兜國九日行
烏弋山離,長安,西,12200里,漢書,王去長安萬二千二百里
烏弋山離,都護治/烏壘城,西南,六十日行,漢書,東北至都護治所六十日行
烏弋山離,罽賓,西,--,漢書,東與罽賓接
