地點1,地點2,方位,里程,書籍出處,原文文句
西域,匈奴,西,--,漢書,皆在匈奴之西，烏孫之南。
西域,烏孫,南,--,漢書,皆在匈奴之西，烏孫之南。
漢,西域,東,六千餘里,漢書,東則接漢，東西六千餘里
陽關,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
玉門,敦煌,西,--,漢書,（陽）〔二〕關皆在敦煌西界。
西域,葱嶺,東,--,漢書,西則限以葱嶺。
玉門,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
陽關,蒲昌海,--,三百餘里,漢書,去玉門、陽關三百餘里
西域,玉門,西,--,漢書,自玉門、陽關出西域有兩道
西域,陽關,西,--,漢書,自玉門、陽關出西域有兩道
莎車,鄯善,西,--,漢書,從鄯善傍南山北，波河西行至莎車，為南道
疏勒,車師前王廷,西,--,漢書,自車師前王廷隨北山，波河西行至疏勒，為北道
都護治/烏壘城,陽關,--,2738里,漢書,都護治烏壘城，去陽關二千七百三十八里
婼羌,陽關,--,1800里,漢書,去陽關千八百里
婼羌,且末,東,--,漢書,西與且末接
婼羌,鄯善,東南,--,漢書,西北至鄯善，乃當道云
鄯善,陽關,西,1600里,漢書,去陽關千六百里
鄯善,都護治/烏壘城,東南,1785里,漢書,西北去都護治所千七百八十五里
鄯善,山國,--,1365里,漢書,至山國千三百六十五里
鄯善,車師,東南,1890里,漢書,西北至車師千八百九十里
鄯善,且末,東,720里,漢書,鄯善當漢道衝，西通且末七百二十里
且末,都護治/烏壘城,東南,2258里,漢書,西北至都護治所二千二百五十八里
且末,小宛,北,可三日行,漢書,南至小宛可三日行
且末,精絕,東,2000里,漢書,西通精絕二千里
小宛,都護治/烏壘城,東南,2558里,漢書,西北至都護治所二千五百五十八里
精絕,都護治/烏壘城,南,2723里,漢書,北至都護治所二千七百二十三里
精絕,戎盧,北,四日行,漢書,南至戎盧國四日行
精絕,扜彌,東,460里,漢書,西通扜彌四百六十里
戎盧,都護治/烏壘城,西南,2858里,漢書,東北至都護治所二千八百五十八里
扜彌,都護治/烏壘城,西南,3553里,漢書,東北至都護治所三千五百五十三里
扜彌,于闐,東,390里,漢書,西通于闐三百九十里
渠勒,都護治/烏壘城,西南,3852里,漢書,東北至都護治所三千八百五十二里
于闐,都護治/烏壘城,西南,3947里,漢書,東北至都護治所三千九百四十七里
于闐,皮山,東,380里,漢書,西通皮山三百八十里
皮山,都護治/烏壘城,西南,4292里,漢書文本,東北至都護治所四千二百九十二里
皮山,烏秅,東北,1340里,漢書文本,西南至烏秅國千三百四十里
皮山,姑墨,南,1450里,漢書文本,北至姑墨千四百五十里
皮山,莎車,東南,380里,漢書文本,西北通莎車三百八十里
烏秅,都護治/烏壘城,西南,4892里,漢書文本,東北至都護治所四千八百九十二里
烏秅,陽關,--,5888里,漢書文本,去陽關五千八百八十八里
康居國,都護治/烏壘城,西,5550里,漢書,東至都護治所五千五百五十里。
康居國,奄蔡國,東南,2000里,漢書,其康居西北可二千里，有奄蔡國。
大宛,都護治/烏壘城,西,4031里,漢書,東至都護治所四千三十一里
大宛,康居,南,1510里,漢書,北至康居卑闐城千五百一十里
大宛,大月氏,東北,690里,漢書,西南至大月氏六百九十里
宛,安息國,東,--,漢書,自宛以西至安息國，雖頗異言，然大同，自相曉知也。
烏孫,安息,東,--,漢書,自烏孫以西至安息，近匈奴。
休循,都護治/烏壘城,西,3121里,漢書,東至都護治所三千一百二十一里
休循,捐毒,--,260里,漢書,至捐毒衍敦谷二百六十里
休循,大宛,東南,920里,漢書,西北至大宛國九百二十里
休循,大月氏,東,1610里,漢書,西至大月氏千六百一十里
捐毒,都護治/烏壘城,西,2861里,漢書,東至都護治所二千八百六十一里
捐毒,大宛,東南,1030里,漢書,西北至大宛千三十里
莎車,都護治/烏壘城,西南,4746里,漢書,東北至都護治所四千七百四十六里
莎車,疏勒,東,560里,漢書,西至疏勒五百六十里
莎車,蒲犂,東北,740里,漢書,西南至蒲犂七百四十里
疏勒,都護治/烏壘城,西,2210里,漢書,東至都護治所二千二百一十里
疏勒,莎車,北,560里,漢書,南至莎車五百六十里
尉頭,都護治/烏壘城,西,1411里,漢書,東至都護治所千四百一十一里
尉頭,疏勒,北,--,漢書,南與疏勒接
尉頭,捐毒,東,1314里,漢書,西至捐毒千三百一十四里
烏孫,都護治/烏壘城,西,1721里,漢書,東至都護治所千七百二十一里
烏孫,康居,東,5000里,漢書,西至康居蕃內地五千里
烏孫,匈奴,西,--,漢書,東與匈奴、
烏孫,康居,東南,--,漢書,西北與康居、
烏孫,大宛,東,--,漢書,西與大宛、
烏孫,城郭諸國,北,--,漢書,南與城郭諸國相接。
姑墨國,都護治/烏壘城,西,2021里,漢書,東至都護治所二千二十一里
姑墨國,于闐,北,馬行十五日,漢書,南至于闐馬行十五日
姑墨國,烏孫,南,--,漢書,北與烏孫接
姑墨國,龜茲,西,670里,漢書,東通龜茲六百七十里
溫宿國,都護治/烏壘城,西,2380里,漢書,東至都護治所二千三百八十里
溫宿國,尉頭,東,300里,漢書,西至尉頭三百里
溫宿國,烏孫,南,610里,漢書,北至烏孫赤谷六百一十里
溫宿國,姑墨,西,270里,漢書,東通姑墨二百七十里
龜茲國,都護治/烏壘城,西,350里,漢書,東至都護治所烏壘城三百五十里
都護治/烏壘城,渠犂,北,330里,漢書,其南三百三十里至渠犂
渠犂,龜茲,東,580里,漢書,西有河，至龜茲五百八十里
溫宿,都護治/烏壘城,西,2380里,漢書,東至都護治所二千三百八十里
溫宿,尉頭,東,300里,漢書,西至尉頭三百里
溫宿,烏孫,南,610里,漢書,北至烏孫赤谷六百一十里
溫宿,姑墨,西,270里,漢書,東通姑墨二百七十里
