地點1,地點2,方位,里程,書籍出處,原文文句
大宛,長安,--,12550里,正義,漢書云：「大宛國去長安萬二千五百五十里」
大宛,都護治,西,--,正義,漢書云：「大宛國...東至都護治」
大宛,大月氏,東北,--,正義,漢書云：「大宛國...西南至大月氏」
大宛,大月氏,北,--,正義,漢書云：「大宛國...南亦至大月氏」
大宛,康居,南,--,正義,漢書云：「大宛國...北至康居」
康居,長安,西,10600里,正義,「康居國在京西一萬六百里」
奄蔡,康居,西北,2000里,正義,「其西北可二千里有奄蔡」
大月氏,大宛,西南,--,正義,「此大月氏在大宛西南」
大月氏,長安,--,11600里,正義,「漢書云去長安萬一千六百里」
大夏,媯水,南,--,正義,「大夏國在媯水南」
京南,蔥嶺,--,15000里,正義,從京南連接至蔥嶺萬餘里
大宛,匈奴,西南,--,--,大宛在匈奴西南
大宛,漢,西,10000里,--,在漢正西，去漢可萬里
大宛,康居,北,--,--,其北則康居
大宛,大月氏,西,--,--,西則大月氏
大宛,大夏,西南,--,--,西南則大夏
大宛,烏孫,東北,--,--,東北則烏孫
大宛,扜罙,東,--,集解,東則扜罙
大宛,于窴,東,--,索隱,于窴
鹽澤,玉門、陽關,--,350里,正義,鹽澤去玉門、陽關三百餘里
鹽澤,長安,--,5000里,--,鹽澤去長安可五千里
烏孫,大宛,東北,2000里,集解,烏孫在大宛東北可二千里
康居,大宛,西北,2000里,--,康居在大宛西北可二千里
奄蔡,康居,西北,2000里,正義,奄蔡在康居西北可二千里
大月氏,天竺,北,7000里,正義,大月氏在天竺北可七千里
大月氏,大宛,西,2500里,正義,大月氏在大宛西可二三千里
安息,長安,西,11200里,正義,安息國京西萬一千二百里
西關,阿蠻,西,3400里,正義,自西關西行三千四百里至阿蠻國
阿蠻,斯賓,西,3600里,正義,西行三千六百里至斯賓國
斯賓,於羅國,西南,960里,正義,從斯賓南行度河，又西南行至于羅國九百六十里
安息,大月氏,西,可數千里,正義,在大月氏西可數千里
安息,條枝,西,--,正義,其西則條枝
大秦,安息,西,--,正義,從安息繞海北陸到其國
安息,奄蔡,北,--,正義,北有奄蔡
安息,黎軒,北,--,正義,北有黎軒
條枝,安息,西,數千里,--,條枝在安息西數千里
大秦,弱水,西,--,索隱,魏略云：「弱水在大秦西。」
大秦,安息,西,--,正義,然大秦國在西海中島上，從安息西界過海
女國,于窴,南,2700里,正義,女國在于窴國南二千七百里
于窴,長安,--,9670里,正義,于窴去京凡九千六百七十里
大夏,大宛,西南,2500里,史記,大夏在大宛西南二千餘里媯水南
身毒,大夏,東南,數千里,正義,其東南有身毒國
身毒,大秦,西,--,正義,西與大秦通
天竺,月氏,--,7000里,括地志,天竺國有東、西、南、北、中央天竺國，國方三萬里，去月氏七千里
舍衞,月氏,南,10000里,括地志,沙祗大國即舍衞國也，在月氏南萬里
天竺,崑崙山,南,--,括地志,天竺在崑崙山南，大國也
身毒,大夏,東南,可數千里,正義,身毒在大夏東南可數千里
大夏,漢,西南,12000里,正義,大夏去漢萬二千里，居漢西南
犍為,益州,南,1500里,正義,犍為郡今戎州也，在益州南一千餘里
冄,戎州,西北,--,正義,茂州、向州等，冄、駹之地，在戎州西北也
邛,戎州,西南,--,正義,邛，今邛州；在戎州西南也
僰,戎州,西南,--,正義,僰，今雅州：在戎州西南也
氐,戎州,西北,--,正義,氐，今成州及武等州也。筰，白狗羌也。皆在戎州西北也
巂,戎州,西南,--,正義,巂州及南昆明夷也，皆在戎州西南
滇越,昆明,西,1000里,正義,然聞其西可千餘里有乘象國，名曰滇越
瓜州,鹽澤,東南,1300里,裴矩西域記,在西州高昌縣東，東南去瓜州一千三百里
鹽澤,西州高昌縣,東,--,裴矩西域記,在西州高昌縣東，東南去瓜州一千三百里
