地點1,地點2,方位,里程,書籍出處,原文文句
大宛,康居,北,--,漢書,大宛國北至康居
大宛,長安,西,12550里,漢書,大宛國去長安萬二千五百五十里
大宛,大月氏,南,--,漢書,大宛國南亦至大月氏
大宛,都護治,東,--,漢書,大宛國東至都護治
大宛,大月氏,西南,--,漢書,大宛國西南至大月氏
康居,大月氏,北,--,正義,此大月氏在大宛西南，於媯水北為王庭。
大宛,康居,東,16000里,正義,括地志云：「康居國在京西一萬六百里。」
騫,月氏,西,--,索隱,為漢使月氏，而為匈奴所閉道。今亡，唯王使人導送我。
大月氏,大夏,南,11600里,正義,大夏國在媯水南。
騫,大宛,西,數十日,--,西走數十日至大宛。
金城,南山,東,--,西域傳,其南山東出金城，與漢南山屬焉。
京南,南山,東,--,正義,南山即連終南山，從京南東至華山過河，東北連延至海，即中條山也。
大宛,扜罙,東,--,集解,東則扜罙
大宛,大月氏,西,--,--,西則大月氏
扜罙,窴,西,300里,索隱,漢紀曰拘彌國去于窴三百里。
大宛,大夏,西南,--,--,西南則大夏
窴,鹽澤,東,--,索隱,于窴之西，則水皆西流，注西海；其東水東流，注鹽澤。
鹽澤,長安,--,5000里,--,鹽澤去長安可五千里。
大宛,康居,北,--,--,其北則康居
大宛,匈奴,西南,10000里,--,大宛在匈奴西南，在漢正西，去漢可萬里。
大宛,烏孫,東北,--,集解,東北則烏孫
大月氏,大宛,西,23000里,正義,在大宛西可二三千里，居媯水北
烏孫,大宛,東北,2000里,集解,烏孫在大宛東北可二千里
康居,大宛,西北,2000里,--,--
奄蔡,康居,西北,2000里,正義,奄蔡在康居西北可二千里
