國名,相對地點,方位,里程,來源
車師,高昌壁,--,500里,復置戊己校尉，領兵五百人，居車師前部高昌壁，又置戊部候，居車師後部候城，相去五百里。
伊吾,西域,西,傍近,
匈奴,六狼望,北,--,前書楊雄
鄯善,河西四郡,南,--,前書
南羌,河西四郡,西,--,前書
烏孫,葱領,西,--,後漢書
西域內屬諸國,金城,東南,--,後漢書
西域內屬諸國,窴南山,北,--,後漢書
西域內屬諸國,漢南山,東南,--,後漢書
西域內屬諸國,匈奴、烏孫,東北,--,後漢書
西域內屬諸國,葱領,西,--,後漢書
西域內屬諸國,東極玉門、陽關,東,6000里,後漢書
西域內屬諸國,蒲昌海、鹽澤,東,300里,後漢書
西域內屬諸國,葱領河,東,--,後漢書
鄯善,伊吾,北,1000里,後漢書
車師前部高昌壁,後部金滿城,北,500里,後漢書
伊吾,車師前部高昌壁,北,1200里,後漢書
敦煌,玉門、陽關,西,--,後漢書
敦煌,鄯善,北,1000里,後漢書
康居,西諸國,北道,--,後漢書
條支,西諸國,北道,--,後漢書
安息,西諸國,南道,--,後漢書
莎車,西諸國,南道,--,後漢書
大宛,西諸國,北道,--,後漢書
大月氏,西諸國,南道,--,後漢書
奄蔡,西諸國,北道,--,後漢書
疏勒,西諸國,北道,--,後漢書
于窴,洛陽,東南,11700里,後漢書
于窴,西城,西,5300里,後漢書
西夜,窴經皮山,東,--,後漢書
西夜,洛陽,東,14400里,後漢書
德若國,洛陽,西,12150里,後漢書
德若國,子合國,--,相接,後漢書
子合國,呼鞬谷,--,1000里,後漢書
德若國,長史居,東,3530里,後漢書
安息,和櫝城,北,25000里,後漢書
條支,條支國城,西南,百餘日,後漢書
安息,木鹿城,東,20000里,後漢書
條支,大海,西,--,後漢書
大秦國,海西,東,--,後漢書
羅國,安息,東北,960里,後漢書
斯賓國,羅國,西南,960里,後漢書
阿蠻國,斯賓國,西,3600里,後漢書
安息,阿蠻國,西,3400里,後漢書
大秦,所居城邑,--,100里,後漢書
大秦,五宮,--,10里,後漢書
大秦王國,長安,東,--,後漢書
于闐國,大月氏,西北,5000里,後漢書
焉耆國,大月氏,西北,4000里,後漢書
康居國,大月氏,西北,5000里,後漢書
龜茲國,大月氏,西北,4000里,後漢書
天竺國,沙門國,東南,7000里,後漢書
烏孫國,大月氏,西北,4000里,後漢書
大秦國,長安,東,--,後漢書
安息,海中,東南,--,從文中得知與天竺交巿於海中，利有十倍
鄰國,界首,東,--,從文中得知鄰國使到其界首者，乘驛詣王都，至則給以金錢
天竺,海中,東南,--,從文中得知與安息交巿於海中，利有十倍
大秦,飛橋,--,數百里,今書
弱水、流沙,西王母所居處,西,幾於日所入,今書
大月氏,安息,西,四十九日行,後漢書
大月氏,洛陽,西,16370里,後漢書
大月氏,長史所居,東,6537里,後漢書
天竺國,月氏、高附國以西，南至西海，東至磐起國,東,--,--
西域,日南徼外,東,--,後漢書
東離,沙奇城,東南,3000里,後漢書
莎車,洛陽,西,9550里,後漢書
奄蔡,城,康居,--,--
焉耆,中國,東,--,後漢書
車師前王,中國,東,--,後漢書
鄯善,中國,東,--,後漢書
莎車,于窴,東,--,後漢書
于窴,莎車,西,--,後漢書
尉黎/尉犂,廣德,東北,--,後漢書
焉耆,廣德,東北,--,後漢書
疏勒,長史所居,--,5000里,後漢書西域傳地理考證
疏勒,洛陽,--,13000里,後漢書西域傳地理考證
莎車,疏勒,東北,5000里,後漢書西域傳地理考證
焉耆,龜茲,東北,--,後漢書
焉耆,城周匝海水曲,--,30里,後漢書
焉耆,長史所居,北,800里,後漢書
焉耆,洛陽,東,8200里,後漢書
車師,長史所居柳中,東,9120里,後漢書
東且彌,長史所居,東,800里,後漢書
蒲類,長史所居,東南,1290里,後漢書
車師,務塗谷,東,9620里,後漢書
蒲類,洛陽,東南,10490里,後漢書
東且彌,洛陽,東,9250里,後漢書
蒲類,天山西疏榆谷,東南,1290里,後漢書
車師,交河城,西,80里,後漢書
北匈奴,車師後部王阿羅多所在地,北,--,永興元年
罽賓,懸度,北,0里,歷大頭痛、小頭痛之山，赤土身熱之阪，臨崢嶸不測之深
西胡,天之外,南方,逷,尚書
