國名,相對地點,方位,里程,來源
大宛國,長安,西,12550里,漢書
大宛國,都護治,東,--,漢書
大宛國,大月氏,西南,--,漢書、括地志
大宛國,大月氏,南,--,漢書、括地志
大宛國,康居,北,--,漢書
月氏,大宛,西,數十日,史記
大宛,康居,西,10600里,括地志
康居,大月氏,西南,1600里,漢書
大宛,漢,西南,10000里,史記
扜冞/拘彌,大宛東北,--,300里,漢紀
鹽澤,于窴之西,--,5000里,史記
安息國,京西萬一千二百里,--,三千四百里至阿蠻國，三千六百里至斯賓國，九百六十里至羅國,地理志、漢書
犂鞬（大秦）,西海之西,東西南北各數千里,--,漢書、康氏外國傳、萬震南州志、魏略
安息,西海,西,1000里,史記
安息,弱水、西王母,西,--,安息長老傳聞
大秦,弱水、流沙,西,未知,大荒西經、漢括地論
大夏,大宛,西南,2000里,史記
大夏,身毒國,東南,1000里,史記
身毒國,月氏,東南,1000里,史記
天竺國,崑崙山,南,--,史記
王舍國,靈鷲山,--,40里,史記
大夏,漢,西南,12000里,史記
身毒國,大夏東南,不遠,--,史記
蜀,身毒國,不遠,--,史記
匈奴,祁連山,西,--,史記
匈奴,金城、河西,西並南山,--,史記
大月氏,騫所居匈奴西邊,西,--,史記
烏孫,匈奴西邊小國,西,--,史記
大夏,烏孫西方,西,--,史記
烏孫,渾邪地,東,--,史記
外國,博望侯開,東,--,史記
酒泉,玉門,西北,0里,索隱、正義
安息,東界,東,1000里,史記
烏孫,安息,匈奴西,--,史記
宛,貳師城,東南,--,史記
小國,鹽水,西,--,文中
郁成,貳師將軍所在地,東,--,文中
王都,郁成,東,--,文中
敦煌,貳師將軍所在地,東,--,文中
宛城,西,平行,--,漢兵到者三萬人
敦煌,郁成,西,--,初
大軍,郁成,東南,200里,初
宛,漢,東,--,史記
外國,宛西,西,--,史記
敦煌,鹽水西,西,--,史記
張騫使大夏,崑崙,東北隅,--,史記
河,崑崙,東北隅,2500里,太史公
河,積石山,東,--,禹本紀、西域傳、尚書、山海經
大宛,博望,東北,--,史記
