國名,治所,相對地點,方位,里程
大宛國,,長安,,12550里
都護治,,大宛國,東,
大月氏,,大宛國,西南,
大月氏,,大宛國,南,
康居,,大宛國,北,
康居國,,京,西,10600里
奄蔡,,其,西北,2000里
大月氏,,大宛,西南,
大月氏,,媯水,北,
大夏國,,媯水,南,
大宛,,匈奴,西南,
大宛,,漢,西,
康居,,其,北,
大月氏,,其,西,
大夏,,其,西南,
烏孫,,其,東北,
扜罙,,其,東,
拘彌國,,于窴,,300里
鹽澤,,玉門、陽關,,300餘里
玉門關,,沙州壽昌縣,西,6里
蒲昌海,,蒲類海,東,
鹽澤,,長安,,5000里
烏孫,,大宛,東北,2000里
康居,,大宛,西北,2000里
月氏,,敦煌,以東,
祁連山,,甘州,西南,
火山國,,扶風南,東,
大秦,,安息、條枝,西,數千里
條枝,,安息,西,數千里
女國,,于窴國,南,2700里
于窴,,京,,9670里
大夏,,大宛,西南,2000餘里
天竺,,崑崙山,南,
大夏,,漢,,12000里
大夏,,漢,西南,
身毒國,,大夏,東南,數千里
大月氏,,其,北,
東界,,王都,,數千里
安息,,烏孫,西,
安息,,大宛,西,
